"customerid";"firstname";"lastname";"age";"gender";"email";"phone";"registrationdate"
1;"Sarah";"Brown";69;"Male";"sarah.brown54@gmail.com";"9773957037";"2025-02-07"
2;"David";"Garcia";29;"Female";"david.garcia366@gmail.com";"4914208731";"2025-12-21"
3;"Laura";"Williams";52;"Male";"laura.williams410@gmail.com";"4218691159";"2025-03-30"
4;"Daniel";"Miller";37;"Male";"daniel.miller125@gmail.com";"8776997677";"2025-05-14"
5;"Michael";"Williams";39;"Female";"michael.williams224@gmail.com";"9188939913";"2024-07-18"
6;"Laura";"Brown";35;"Female";"laura.brown70@gmail.com";"3318989612";"2023-12-04"
7;"Michael";"Brown";38;"Female";"michael.brown782@gmail.com";"8442242488";"2025-06-09"
8;"Michael";"Davis";41;"Female";"michael.davis739@gmail.com";"7338455806";"2026-02-22"
9;"Daniel";"Brown";42;"Male";"daniel.brown157@gmail.com";"7458631304";"2023-08-04"
10;"Chris";"Williams";62;"Female";"chris.williams831@gmail.com";"8668699696";"2023-10-17"
11;"David";"Davis";38;"Female";"david.davis63@gmail.com";"4078508507";"2023-08-01"
12;"Emma";"Miller";19;"Female";"emma.miller828@gmail.com";"9206229299";"2023-07-17"
13;"Jane";"Garcia";45;"Male";"jane.garcia789@gmail.com";"8282203176";"2026-03-02"
14;"Sarah";"Miller";25;"Male";"sarah.miller879@gmail.com";"8517666649";"2023-09-24"
15;"Emma";"Smith";32;"Male";"emma.smith635@gmail.com";"3137678153";"2025-06-05"
16;"Chris";"Johnson";27;"Female";"chris.johnson73@gmail.com";"6218667964";"2025-03-26"
17;"Laura";"Johnson";18;"Male";"laura.johnson970@gmail.com";"7926377384";"2025-02-05"
18;"Sarah";"Williams";55;"Female";"sarah.williams387@gmail.com";"6312827528";"2025-09-28"
19;"John";"Johnson";56;"Female";"john.johnson644@gmail.com";"6838227859";"2025-04-04"
20;"Emily";"Johnson";41;"Female";"emily.johnson294@gmail.com";"7019274668";"2023-10-19"
21;"Chris";"Brown";38;"Female";"chris.brown650@gmail.com";"6438174740";"2025-12-04"
22;"Chris";"Smith";34;"Female";"chris.smith592@gmail.com";"8524082520";"2024-02-10"
23;"Emily";"Johnson";60;"Male";"emily.johnson383@gmail.com";"3827618756";"2025-05-17"
24;"Emma";"Williams";68;"Female";"emma.williams222@gmail.com";"6913696806";"2024-05-21"
25;"John";"Davis";36;"Female";"john.davis935@gmail.com";"4594572645";"2025-11-06"
26;"David";"Smith";21;"Female";"david.smith724@gmail.com";"8563523282";"2025-12-26"
27;"Michael";"Brown";69;"Female";"michael.brown682@gmail.com";"3026256804";"2025-12-12"
28;"Michael";"Smith";22;"Female";"michael.smith399@gmail.com";"5093088951";"2024-05-04"
29;"John";"Brown";69;"Female";"john.brown21@gmail.com";"3667054577";"2026-02-10"
30;"Emily";"Brown";50;"Female";"emily.brown281@gmail.com";"7265507869";"2024-08-10"
31;"David";"Garcia";53;"Male";"david.garcia588@gmail.com";"4558192162";"2024-11-30"
32;"Michael";"Davis";65;"Male";"michael.davis555@gmail.com";"4447019132";"2025-04-04"
33;"John";"Johnson";30;"Male";"john.johnson106@gmail.com";"6776317821";"2026-02-12"
34;"Laura";"Smith";63;"Female";"laura.smith869@gmail.com";"8197885247";"2025-03-29"
35;"Chris";"Davis";49;"Female";"chris.davis570@gmail.com";"4218794429";"2024-06-08"
36;"Michael";"Johnson";59;"Female";"michael.johnson150@gmail.com";"4368893617";"2025-09-25"
37;"Emily";"Smith";67;"Male";"emily.smith437@gmail.com";"2884801637";"2024-11-11"
38;"Laura";"Brown";27;"Female";"laura.brown630@gmail.com";"8042899591";"2025-06-05"
39;"John";"Smith";59;"Male";"john.smith428@gmail.com";"6065325552";"2026-02-13"
40;"Emma";"Williams";48;"Female";"emma.williams406@gmail.com";"2667076995";"2026-01-08"
41;"Laura";"Smith";56;"Male";"laura.smith444@gmail.com";"8808022207";"2026-01-31"
42;"Sarah";"Smith";25;"Female";"sarah.smith231@gmail.com";"6374622190";"2024-03-19"
43;"Laura";"Miller";51;"Male";"laura.miller46@gmail.com";"3149093666";"2023-12-01"
44;"David";"Garcia";27;"Female";"david.garcia34@gmail.com";"9524521030";"2024-04-14"
45;"Laura";"Davis";33;"Female";"laura.davis15@gmail.com";"6256742017";"2024-11-10"
46;"David";"Miller";33;"Male";"david.miller408@gmail.com";"3083536893";"2025-08-12"
47;"Emily";"Smith";59;"Male";"emily.smith349@gmail.com";"3156489653";"2025-11-01"
48;"Sarah";"Jones";54;"Male";"sarah.jones310@gmail.com";"2668124607";"2023-10-10"
